l_ear,l_forehead,r_forehead,r_ear,ch5,ch6
827.6190476190476,814.3223443223443,846.1538461538462,840.9157509157509,nan,nan
816.3369963369963,811.9047619047619,850.1831501831502,839.3040293040293,nan,nan
820.3663003663004,821.1721611721612,839.3040293040293,841.3186813186813,nan,nan
811.5018315018315,817.1428571428571,839.7069597069598,850.1831501831502,nan,nan
807.0695970695971,808.2783882783883,844.1391941391942,851.7948717948718,nan,nan
841.7216117216118,813.5164835164835,838.901098901099,846.959706959707,nan,nan
835.2747252747253,813.919413919414,844.945054945055,851.7948717948718,nan,nan
824.7985347985348,807.4725274725275,847.7655677655678,859.4505494505495,nan,nan
829.2307692307693,807.0695970695971,838.901098901099,855.4212454212454,nan,nan
827.2161172161173,812.3076923076924,840.5128205128206,856.2271062271062,nan,nan
846.1538461538462,806.2637362637363,846.1538461538462,852.1978021978023,nan,nan
844.1391941391942,806.6666666666667,839.7069597069598,844.1391941391942,nan,nan
844.5421245421246,809.0842490842491,836.4835164835165,848.974358974359,nan,nan
844.1391941391942,809.0842490842491,838.0952380952381,840.9157509157509,nan,nan
834.0659340659341,807.4725274725275,844.945054945055,836.0805860805862,nan,nan
836.4835164835165,807.0695970695971,846.5567765567765,836.886446886447,nan,nan
841.3186813186813,809.8901098901099,835.2747252747253,842.9304029304029,nan,nan
849.3772893772895,813.919413919414,839.7069597069598,836.886446886447,nan,nan
866.3003663003664,815.5311355311355,836.0805860805862,828.021978021978,nan,nan
869.1208791208792,808.2783882783883,832.8571428571429,838.901098901099,nan,nan
847.3626373626374,807.4725274725275,836.886446886447,838.901098901099,nan,nan
843.7362637362637,807.0695970695971,833.2600732600733,843.7362637362637,nan,nan
850.1831501831502,807.4725274725275,840.5128205128206,841.7216117216118,nan,nan
840.9157509157509,810.2930402930403,842.1245421245421,831.2454212454213,nan,nan
836.4835164835165,809.8901098901099,833.2600732600733,833.6630036630037,nan,nan
846.1538461538462,810.6959706959707,844.945054945055,832.4542124542124,nan,nan
861.4652014652015,812.7106227106227,842.1245421245421,835.2747252747253,nan,nan
856.2271062271062,815.934065934066,826.007326007326,830.0366300366301,nan,nan
844.5421245421246,815.5311355311355,828.8278388278388,826.8131868131868,nan,nan
841.7216117216118,812.7106227106227,833.2600732600733,835.6776556776557,nan,nan
842.5274725274726,811.5018315018315,839.3040293040293,832.8571428571429,nan,nan
848.974358974359,813.919413919414,837.6923076923077,834.0659340659341,nan,nan
849.3772893772895,812.3076923076924,831.2454212454213,837.6923076923077,nan,nan
836.0805860805862,812.7106227106227,832.8571428571429,833.2600732600733,nan,nan
839.3040293040293,815.1282051282052,832.8571428571429,834.8717948717949,nan,nan
